Accession,A-1,A-2,A-3,B-1,B-2,B-3,C-1,C-2,C-3
clbS,8776.133384,8922.726233,9553.751821,936.5308864,917.7504586,953.7117224,4764.246204,5742.519294,5293.351138
clbQ,1115.642977,1266.151069,1312.945621,59.42880337,43.45549333,53.03736907,247.5657369,291.0221029,273.6839457
clbK,624.0395533,605.1774072,623.5529638,32.13110302,45.09781196,47.92789586,288.524413,436.0043482,341.0861109
clbI,3676.751388,4157.020517,4339.957704,229.3292497,362.9161282,284.906931,1769.065251,1887.813833,1812.48675
clbH,508.0747725,493.5090547,481.6504933,27.92800267,29.25745118,31.49298574,196.4630481,248.3444269,243.8868827
clbG,442.826613,402.8893526,402.3787733,0.165532345,0.718203506,0.373620501,125.2229419,206.4070465,199.4182629
clbF,803.9809971,782.7930887,818.4559703,16.91842167,25.0970826,16.76753493,427.6143788,505.8283492,491.1605069
clbE,1461.848762,1355.218922,1416.740301,18.58577325,15.22637546,4.711366387,774.7175483,1010.973906,833.1827104
clbD,1447.472736,1403.039811,1373.139198,90.63824462,119.8002703,89.51789801,672.9022439,868.7879683,785.1318331
clbC,970.6276442,882.5697266,913.5916156,7.981573555,4.816968588,4.849898389,372.815605,527.7656428,454.4104551
clbB,299.2176365,251.2751628,261.4772286,278.9939408,255.7887522,271.5106667,359.7717724,364.4271193,360.2067664
clbJ,1719.655343,1535.978877,1605.636122,1416.547206,1245.861018,1316.524719,1559.34056,1373.405261,1551.715653
